Time,Red,Bottom orange,Top orange,CO2,All-Fam-Max,All-Fam-Min,Marine-Fam-Max,Marine-Fam-Min,Terrestrial-Fam-Max,Terrestrial-Fam-Min,All-Fam-pcOrig-Max,All-Fam-pcOrig-Min,Marine-Fam-pcOrig-Max,Marine-Fam-pcOrig-Min,Terrestrial-Fam-pcOrig-Max,Terrestrial-Fam-pcOrig-Min,All-Fam-pcExtin-Max,All-Fam-pcExtin-Min,Marine-Fam-pcExtin-Max,Marine-Fam-pcExtin-Min,Terrestrial-Fam-pcExtin-max,Terrestrial-Fam-pcExtin-Min,Sep_ngen,Sep-pcOrig,Sep-pcExtin,allmaxbc,allmaxp,allmaxq,allminbc,allminp,allminq,marmaxbc,marmaxp,marmaxq,marminbc,marminp,marminq,terrmaxbc,terrmaxp,terrmaxq,terrminbc,terrminp,terrminq,Sepbc,sep-p,sep-q,pulsedR,p&f01terrf,p&f02f,cosunaD,cosunaP,cosunaQ
520,6.45,5.5,6.45,26.1822,237,229,227,219,0,0,0.025361,0.026247,0.026479,0.027446,0,0,0.024464,0.025783,0.025541,0.0269601,0,0,460,0.093858,0.1049,171,0.0243394207,0.02265066016,162,0.02627758008,0.02536830171,161,0.02702152912,0.02518715805,152,0.02952110862,0.02852684623,0,0,0,0,0,0,282,0.1464638095,0.1760806349,0.9483198,0,16
510,7.47,6.31,7.47,22.3973,221.5,203,211.5,193,0,0,0.03885,0.039207,0.040738,0.041258,0,0,0.025999,0.027489,0.027296,0.0289359,0,0,495,0.165615,0.15916,200,0.04125229327,0.02312484664,181,0.04128312516,0.02450003979,190,0.04471373765,0.02535621344,171,0.04515204361,0.02707652197,0,0,0,0,0,0,275,0.147413979,0.129217388,0.4348151,0,34.5,206.5,0.03706493333,0.06527946667
500,6.83,5.48,6.83,18.8919,235,207,225,197,0,0,0.02428,0.021881,0.025359,0.022992,0,0,0.005257,0.00682,0.00549,0.0071663,0,0,595,0.043104,0.033811,231,0.03354032173,0.007733125856,203,0.02994151689,0.009826710863,221,0.03579939956,0.008382356624,193,0.03224243579,0.01072479746,0,0,0,0,0,0,334,0.06921652941,0.04189382353,0.6832583,0,42,205,0.0551972,0.0467876
490,6.43,5.08,7.43,17.2967,373,337,363,327,0,0,0.025223,0.02704,0.025918,0.027867,0,0,0.006504,0.007023,0.006683,0.0072381,0,0,1072,0.045207,0.025556,360,0.03428333108,0.00829759416,323,0.03772108482,0.009067476183,350,0.03574364204,0.008735857918,313,0.03958873544,0.009636627676,0,0,0,0,0,0,700,0.07835633136,0.02637828402,0.6639292,0,46,183,0.007369466667,0.05279953333
480,5.88,4.53,6.88,17.2836,373,337,363,327,0,0,0.025223,0.02704,0.025918,0.027867,0,0,0.006504,0.007023,0.006683,0.0072381,0,0,1072,0.045207,0.025556,360,0.03428333108,0.00829759416,323,0.03772108482,0.009067476183,350,0.03574364204,0.008735857918,313,0.03958873544,0.009636627676,0,0,0,0,0,0,700,0.07835633136,0.02637828402,0.6639292,0,46,183,0.007369466667,0.05279953333
470,5.02,3.61,6.02,17.7262,424,385,414,375,0,0,0.028931,0.030476,0.02963,0.031289,0,0,0.01195,0.015238,0.012238,0.0156444,0,0,1083,0.058356,0.041243,420,0.03449918439,0.01440553099,380,0.03718971898,0.01876967385,410,0.03555048843,0.01487880872,370,0.03849195056,0.01947379595,0,0,0,0,0,0,924,0.07288866667,0.04547746667,0.7972292,1,34,105,0.02672383333,0.03670683333
460,2.9,1.48,3.9,15.4694,548,524,537,513,0,0,0.010966,0.012203,0.011102,0.012371,0,0,0.006668,0.006789,0.006804,0.0069351,0,0,1978,0.024354,0.021025,530,0.01235969385,0.00709013584,503,0.0137596965,0.00700296464,519,0.01256155065,0.007275471321,492,0.01401374061,0.007201238786,0,0,0,0,0,0,1470,0.02820716346,0.02189216346,0.5512031,1,112,265,0.056083,0.05123622222
450,2.17,0.76,3.17,15.8545,548,524,537,513,0,0,0.010966,0.012203,0.011102,0.012371,0,0,0.006668,0.006789,0.006804,0.0069351,0,0,1978,0.024354,0.021025,530,0.01235969385,0.00709013584,503,0.0137596965,0.00700296464,519,0.01256155065,0.007275471321,492,0.01401374061,0.007201238786,0,0,0,0,0,0,1470,0.02820716346,0.02189216346,0.5512031,1,112,265,0.056083,0.05123622222
440,2.49,1.08,3.49,16.686,531,515,520,504,0,0,0.0271,0.030784,0.027674,0.031456,0,0,0.055119,0.057779,0.056285,0.0590399,0,0,1615,0.075814,0.14906,518,0.02895020998,0.06270283707,500,0.03319004017,0.06622369161,507,0.0297969839,0.06441490972,489,0.03421600968,0.06813766931,0,0,0,0,0,0,1248,0.05903195122,0.1986109756,0.4374562,1,102,215,0.04741773585,0.1805154717
430,2.85,1.38,3.85,16.9976,551,514,535,499,3,2,0.024671,0.024319,0.023949,0.023798,0.104167,0.078125,0.012761,0.013983,0.012558,0.0137776,0,0,1557,0.070348,0.0567,543,0.02652385251,0.01298445922,504,0.02531504541,0.01353008263,529,0.02621772754,0.01331357269,491,0.02529261343,0.01389804469,3,0.1716581701,0,2,0.108304247,0,1198,0.06605484375,0.0430153125,0.3046792,1,66,166,0.02908509434,0.04407830189
