Time,Red,Bottom orange,Top orange,CO2,All-Fam-Max,All-Fam-Min,Marine-Fam-Max,Marine-Fam-Min,Terrestrial-Fam-Max,Terrestrial-Fam-Min,All-Fam-pcOrig-Max,All-Fam-pcOrig-Min,Marine-Fam-pcOrig-Max,Marine-Fam-pcOrig-Min,Terrestrial-Fam-pcOrig-Max,Terrestrial-Fam-pcOrig-Min,All-Fam-pcExtin-Max,All-Fam-pcExtin-Min,Marine-Fam-pcExtin-Max,Marine-Fam-pcExtin-Min,Terrestrial-Fam-pcExtin-max,Terrestrial-Fam-pcExtin-Min,Sep_ngen,Sep-pcOrig,Sep-pcExtin,allmaxbc,allmaxp,allmaxq,allminbc,allminp,allminq,marmaxbc,marmaxp,marmaxq,marminbc,marminp,marminq,terrmaxbc,terrmaxp,terrmaxq,terrminbc,terrminp,terrminq,Sepbc,sep-p,sep-q,pulsedR,p&f01terrf,p&f02f,cosunaD,cosunaP,cosunaQ
520,1.719178512,1.857456504,1.335116466,2.921341911,-1.153146319,-1.029797459,-1.525407583,-1.438684517,-0.8377621969,-0.6810743828,0.7250393302,0.6505360188,0.7344736157,0.7263028486,-0.648762414,-0.7160860768,1.01999902,1.154505535,1.191552068,1.289186657,-0.5983734046,-0.5986375818,-0.9587761541,0.948476478,1.515330548,-1.235077296,0.5881628088,0.8400491461,-1.116431381,0.5980691173,1.150725687,-1.733414804,0.6636342329,1.089267228,-1.655331989,0.736844771,1.330619443,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.9887382796,1.92225685,3.095803722,3.535366925,-1.017540603,-1.032299858,1.089775924,-0.08713332245,0.3900498413
510,2.19743092,2.260085173,1.773558917,2.323166252,-1.178578817,-1.074158361,-1.589024312,-1.547727324,-0.8377621969,-0.6810743828,1.68570124,1.578099637,1.613954577,1.578270944,-0.648762414,-0.7160860768,1.140899865,1.291894456,1.333546317,1.44992437,-0.5983734046,-0.5986375818,-0.930887491,2.389759569,2.843771517,-1.187725991,1.708227311,0.8749498831,-1.084177353,1.607790378,1.081970807,-1.616394553,1.657660816,1.102035579,-1.577008516,1.615037309,1.220205493,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.9949291576,1.940289184,2.032883967,0.5824577416,-1.017540603,-0.3649124499,1.062239059,0.6435341851,-0.108318968
500,1.897350978,1.847515056,1.498457772,1.769163516,-1.156427931,-1.067333607,-1.533616193,-1.530951507,-0.8377621969,-0.6810743828,0.6480524872,0.3380558678,0.6653931278,0.4515659607,-0.648762414,-0.7160860768,-0.4927974191,-0.3726375596,-0.4307423391,-0.3211029229,-0.5983734046,-0.5986375818,-0.8512055965,-0.07094855342,-0.2251327769,-1.137109079,1.197497656,-0.2579006325,-1.046830584,0.8446149691,-0.07996310065,-1.491303941,1.156813846,-0.1799593265,-1.486318179,0.8897370461,-0.02465990435,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.9427489004,0.4562566068,0.0522712709,2.01113056,-1.017540603,-0.09434998704,0.658365042,-1.283757716,0.05370686257
490,1.709801014,1.648686084,1.756365095,1.517053867,-0.9299966552,-0.8455290964,-0.967222089,-0.9857374748,-0.8377621969,-0.6810743828,0.7152112226,0.7072920334,0.6998716927,0.7522714678,-0.648762414,-0.7160860768,-0.3945802503,-0.3562894054,-0.3342186132,-0.3152617609,-0.5983734046,-0.5986375818,-0.4711229598,-0.02870851636,-0.4272389361,-0.9264774137,1.246703869,-0.2163550368,-0.8431209333,1.368101127,-0.1400844625,-0.9707655849,1.153681142,-0.1532602172,-0.9916436132,1.302474066,-0.107502843,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.6190544234,0.6297119293,-0.2996414656,1.899978555,-1.017540603,0.04994999314,0.658365042,-1.283757716,0.05370686257
480,1.451919814,1.375296247,1.519950048,1.514983508,-0.9299966552,-0.8455290964,-0.967222089,-0.9857374748,-0.8377621969,-0.6810743828,0.7152112226,0.7072920334,0.6998716927,0.7522714678,-0.648762414,-0.7160860768,-0.3945802503,-0.3562894054,-0.3342186132,-0.3152617609,-0.5983734046,-0.5986375818,-0.4711229598,-0.02870851636,-0.4272389361,-0.9264774137,1.246703869,-0.2163550368,-0.8431209333,1.368101127,-0.1400844625,-0.9707655849,1.153681142,-0.1532602172,-0.9916436132,1.302474066,-0.107502843,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.6190544234,0.6297119293,-0.2996414656,1.899978555,-1.017540603,0.04994999314,-0.7735519275,-0.5038438143,-0.380002718
470,1.048687392,0.917989612,1.150282884,1.584933189,-0.8463155314,-0.7636320463,-0.7579025288,-0.7844276782,-0.8377621969,-0.6810743828,0.9792882011,0.9532109061,0.9288241668,0.963351313,-0.648762414,-0.7160860768,0.03436177117,0.3052873768,0.1152275705,0.3686179032,-0.5983734046,-0.5986375818,-0.4623579514,0.2353971647,-0.04317602646,-0.8285091972,1.260998876,0.2331969973,-0.7463588492,1.332345586,0.628201487,-0.7286547218,1.142828917,0.3107021996,-0.7566731943,1.240853421,0.6414059578,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.4209463283,0.5259464924,0.1335529861,2.666520311,-0.9702554273,-0.3829499474,2.163713651,0.6792288553,0.01157452891
460,0.05467258378,-0.1407746636,0.2390103406,1.228262517,-0.6428555441,-0.5264718387,-0.2530730013,-0.2056620131,-0.8377621969,-0.6810743828,-0.300146243,-0.3546108524,-0.2139644754,-0.2035711041,-0.648762414,-0.7160860768,-0.3816631568,-0.3751340758,-0.3244286963,-0.3399117899,-0.5983734046,-0.5986375818,0.2507950043,-0.4475537341,-0.5381708571,-0.6489008002,-0.2052013422,-0.3052255276,-0.5375564572,-0.2442577106,-0.3035665174,-0.2888199872,-0.1487913595,-0.2635597324,-0.2537540522,-0.1344054052,-0.2929102817,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,0.06194215375,-0.3220198633,-0.4013925495,1.251747028,-0.9702554273,2.430899666,2.163713651,0.6792288553,0.01157452891
450,-0.2876061001,-0.4986668131,-0.0747769033,1.289124744,-0.6428555441,-0.5264718387,-0.2530730013,-0.2056620131,-0.8377621969,-0.6810743828,-0.300146243,-0.3546108524,-0.2139644754,-0.2035711041,-0.648762414,-0.7160860768,-0.3816631568,-0.3751340758,-0.3244286963,-0.3399117899,-0.5983734046,-0.5986375818,0.2507950043,-0.4475537341,-0.5381708571,-0.6489008002,-0.2052013422,-0.3052255276,-0.5375564572,-0.2442577106,-0.3035665174,-0.2888199872,-0.1487913595,-0.2635597324,-0.2537540522,-0.1344054052,-0.2929102817,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,0.06194215375,-0.3220198633,-0.4013925495,1.251747028,-0.9702554273,2.430899666,1.245818158,0.3300487404,3.495741205
440,-0.1375661291,-0.3396036356,0.06277366936,1.420537215,-0.6707492521,-0.5418275356,-0.3228461881,-0.2434075999,-0.8377621969,-0.6810743828,0.8488877298,0.9752548563,0.8081800291,0.9736524042,-0.648762414,-0.7160860768,3.4344716,3.731232342,3.679000038,3.89898203,-0.5983734046,-0.5986375818,-0.03845027267,0.5860517378,2.596494448,-0.6684944435,0.8935149231,3.787941061,-0.5426491985,1.063207696,4.385933121,-0.3372421598,0.819571567,4.052045714,-0.2661209163,1.000618312,4.346212262,-0.840723201,-0.654062752,-0.5462121861,-0.6821038615,-0.8039017226,-0.5637282723,-0.1343971192,0.2629735023,3.606821328,0.5976453892,-0.9702554273,2.070149716,0.3462805743,-0.4086931788,-0.1813364571
430,0.03122883831,-0.1904819066,0.2175180636,1.469783308,-0.6379331251,-0.5435337241,-0.2612816115,-0.2643773704,-0.8289011166,-0.6748173292,0.6758987921,0.5125466163,0.5784257279,0.5012826045,2.756208399,1.562404803,0.09823837408,0.2042187387,0.1411182598,0.2167476919,-0.5983734046,-0.5986375818,-0.08466577148,0.4762637955,0.3352558212,-0.6276743533,0.7328280345,0.1286042809,-0.5358588768,0.5333002792,0.2132950448,-0.2484681766,0.6184731024,0.192483657,-0.2578763402,0.4992753023,0.2169210783,-0.8318526354,4.743614379,-0.5462121861,-0.6758319141,2.717881017,-0.5637282723,-0.1786176761,0.3962540806,0.07770810809,-0.1658888544,-0.9702554273,0.771449894,0.01583819675,-0.3579617246,0.2709934416
