Time,Red,Bottom orange,Top orange,CO2,All-Fam-Max
1.699673171,1.719178512,1.857456504,1.335116466,2.921341911,-1.153146319
1.634301126,2.19743092,2.260085173,1.773558917,2.323166252,-1.178578817
1.568929081,1.897350978,1.847515056,1.498457772,1.769163516,-1.156427931
1.503557036,1.709801014,1.648686084,1.756365095,1.517053867,-0.9299966552
1.438184991,1.451919814,1.375296247,1.519950048,1.514983508,-0.9299966552
1.372812946,1.048687392,0.917989612,1.150282884,1.584933189,-0.8463155314
1.307440901,0.05467258378,-0.1407746636,0.2390103406,1.228262517,-0.6428555441
1.242068856,-0.2876061001,-0.4986668131,-0.0747769033,1.289124744,-0.6428555441
1.176696811,-0.1375661291,-0.3396036356,0.06277366936,1.420537215,-0.6707492521
1.111324766,0.03122883831,-0.1904819066,0.2175180636,1.469783308,-0.6379331251
1.045952721,0.07811632926,-0.1358039393,0.2605026176,0.9804990404,-0.6297290933
0.9805806757,0.4063287659,0.1823224158,0.5613944953,0.5280229084,-0.6461371568
0.9152086306,0.711097457,0.5054194952,0.840794096,0.572938632,-0.6231658679
0.8498365856,1.198727363,0.9975212008,1.287833457,0.9098223634,-0.5378439378
0.7844645406,1.541006047,1.335530453,1.601620701,1.201837784,-0.5148726489
0.7190924955,0.8470711808,0.6247168784,0.9654493024,0.05410038764,-0.562456033
0.6537204505,0.4344612605,0.2121467616,0.5871852276,-0.2464967493,-0.6100394172
0.5883484054,-0.0484798963,-0.2700134954,0.1444443219,-0.5310367521,-0.6100394172
0.5229763604,-0.6486397804,-0.8814125841,-0.4057579688,-0.7890571968,-0.5017461981
0.4576043153,-1.000295963,-1.224392561,-0.7281421234,-0.9524100888,-0.5165134553
0.3922322703,-1.422283381,-1.612109056,-1.544848649,-1.005085707,-0.3573552394
0.3268602252,-1.820827054,-1.970001206,-1.910217357,-1.01836129,-0.2359355696
0.2614881802,-1.811449556,-1.885498892,-1.901620446,-1.019009265,-0.3737633029
0.1961161351,-1.74111832,-1.746318612,-1.837143616,-1.00695061,-0.3458695949
0.1307440901,-1.703608327,-1.641933402,-1.802755972,-1.018155835,-0.3032086299
0.06537204505,-0.9487197225,-0.7969102711,-1.110704654,-0.9888863345,-0.3032086299
0,0.3500637768,0.6098047055,0.07996749095,-0.9206593187,-0.2884413727
-0.06537204505,1.043998643,1.370325523,0.7161388895,-0.2553629424,-0.355714433
-0.1307440901,1.283124847,1.574125219,0.9353601147,-0.09381173668,-0.6822348965
-0.1961161351,0.7861174426,1.017404098,0.4797238427,-0.3951516741,-0.4623668457
-0.2614881802,0.1672025621,0.336414869,-0.08767226948,-0.2949684327,-0.4623668457
-0.3268602252,-0.4329573221,-0.3396036356,-0.6378745601,-0.4402096361,-0.4623668457
-0.3922322703,-0.381381082,-0.329662187,-0.5905915508,-0.3564786355,-0.3688408838
-0.4576043153,-0.5032885585,-0.4986668131,-0.7023513911,-0.5146161199,-0.317975887
-0.5229763604,-0.826812246,-0.8764418598,-0.6980529357,-0.4510039497,-0.2868005664
-0.5883484054,-0.179764871,-0.2153355281,0.0240875708,0.1384161461,-0.2211683124
-0.6537204505,-0.02972489992,-0.08609669634,0.1616381435,0.2253870212,-0.1456912204
-0.7190924955,-0.1234998818,-0.2053940795,0.07566903555,-0.01554901207,0.2120045637
-0.7844645406,0.1109375729,0.04811285972,0.2905918053,0.07915014905,0.3137345574
-0.8498365856,-0.2219636128,0.2717954532,-0.01459852776,-0.1725485893,0.3645995542
-0.9152086306,-0.08598988906,-0.1010088692,0.1100566787,-0.2529764983,0.5582147034
-0.9805806757,0.007785092837,0.008347065332,0.1960257866,-0.2858967841,0.6468182463
-1.045952721,0.6735874643,0.7291020886,0.8064064528,-0.3787784547,0.6468182463
-1.111324766,0.5141699951,0.5799803597,0.6602589694,-0.5341659967,0.7009648558
-1.176696811,0.1812688093,0.2469418317,0.3550686363,-0.5551382576,0.965134678
-1.242068856,0.1250038202,0.2071760373,0.3034871715,-0.7108102764,0.9749795161
-1.307440901,-0.06723489268,0.02325923823,0.1315489557,-0.7737112546,1.073427897
-1.372812946,-0.2360298601,-0.130833215,-0.4573394335,-0.7144610618,1.655093748
-1.438184991,-0.6486397804,-0.5384326075,-0.8356035083,-0.8899832386,1.780615434
-1.503557036,-1.150335934,-0.9808270701,-1.295538236,-0.9925213156,2.422170716
-1.568929081,-1.328508399,-1.095153729,-1.458879541,-1.03377045,2.679777313
